step,weightUpdates,episode,action,state/fractionLossRate,state/fractionNackRate,state/fractionPliRate,state/fractionQueueingRtt,state/fractionRtt,state/gradientRtt,state/interarrivalJitter,state/lossRate,state/rttMean,state/rttStd,state/rxRate,state/txRate,reward/rew,reward/rate,reward/rtt,reward/plr,reward/jit,reward/smt,reward/pli,reward/nack
11,7,2,0.5331621,0.0,0.016911766,0.0014705883,0.026901245,0.0647583,0.008468628,0.028066667,0.0,0.05466253,0.012408589,13.663866,13.393024,0.0,0.18840922662246673,0.18597869873046877,0.2,0.1462350795902508,0.05,0.0,0.049632352941176475
12,7,2,-0.98102987,0.0,0.016650343,0.0019588638,0.027175903,0.06503296,0.0002746582,0.027111111,0.0,0.055526733,0.012221182,0.0,13.122774,0.0,0.0,0.19538040161132814,0.2,0.14767622167907044,0.004453779999999997,0.0,0.05002448579823702
13,7,2,0.70976317,0.0,0.6363636,0.0,0.025512695,0.06336975,-0.001663208,0.026977777,0.0,0.056130044,0.011926276,0.082329005,0.081967,0.6741451924109216,0.0018773535536264461,0.19938735961914064,0.2,0.1478804792381545,0.05,0.075,0.0
14,7,2,-0.05324638,0.0,0.010869565,0.002173913,0.0027313232,0.04058838,-0.022781372,0.025711112,0.0,0.055019923,0.012169514,4e-06,11.246875,0.0,9.164167652391137e-08,0.2,0.2,0.1498624115280982,0.05,0.0,0.058695652173913045
15,7,2,0.98798513,0.0,0.013020833,0.0026041667,0.028656006,0.06651306,0.025924683,0.029166667,0.0,0.055786133,0.012101363,7.94704,7.8473244,0.0,0.1294573251325766,0.169061279296875,0.2,0.14462250758054615,0.02350988,0.0,0.05546874999999999
16,7,2,-0.9987447,0.0,0.0,0.0,0.031906128,0.06976318,0.003250122,0.026055556,0.0,0.0566597,0.012195781,0.0,12.912041,0.0,0.0,0.19023284912109376,0.2,0.1493157925100048,0.02350986666666667,0.075,0.075
17,7,2,0.7986417,0.0,0.0,0.0,0.025802612,0.06365967,-0.0061035156,0.0247,0.0,0.057071462,0.011945736,0.0,0.022548001,0.0,0.0,0.2,0.2,0.15150257738807144,0.05,0.075,0.075
18,7,2,0.3439077,0.0,0.0,0.0,0.027862549,0.065719604,0.0020599365,0.0277,0.0,0.057551913,0.011776968,11.52977,11.559288,0.9101788514794387,0.16837891076985145,0.1950164794921875,0.2,0.1467834612173997,0.05,0.075,0.075
19,7,2,-0.8030316,0.0,0.0,0.0,0.027160645,0.0650177,-0.0007019043,0.027088888,0.0,0.05794485,0.01158345,4e-06,8.7844515,0.0,9.164167652391137e-08,0.19788818359375002,0.2,0.14771020919699313,0.01156744666666667,0.075,0.075
20,8,2,-0.6732923,0.0,0.0,0.0,0.026779175,0.06463623,-0.00038146973,0.026466666,0.0,0.058279417,0.011383949,0.0,1.467624,0.0,0.0,0.1990989685058594,0.2,0.14867099585354623,0.05,0.075,0.075
21,8,2,-0.3702168,0.0,0.0,0.0,0.026443481,0.06430054,-0.00033569336,0.029311111,0.0,0.05856614,0.011183349,1.989225,1.992253,0.785108780312642,0.0410561831752255,0.19963836669921875,0.2,0.14441423043819776,0.05,0.075,0.075
22,8,2,0.6854069,0.0,0.0,0.0,0.008666992,0.046524048,-0.01777649,0.031033333,0.0,0.05801877,0.011210454,0.0,9.798374,0.0,0.0,0.2,0.2,0.14198850688584774,0.04336925,0.075,0.075
23,8,2,-0.95512134,0.0,0.035490606,0.0,0.003692627,0.041549683,-0.0049743652,0.03412222,0.0,0.057302725,0.011466913,0.0,0.356389,0.0,0.0,0.2,0.2,0.1378746786281507,0.05,0.075,0.021764091858037578
24,8,2,0.43636966,0.0,0.009009009,0.0,0.027038574,0.06489563,0.023345947,0.03313333,0.0,0.057619095,0.011327552,1e-06,2.8079028,0.0,2.2910423045428472e-08,0.17361984252929688,0.2,0.1391614157517342,0.05,0.075,0.06148648648648649
25,8,2,-0.970784,0.0,0.06329114,0.0,0.025650024,0.06350708,-0.0013885498,0.03571111,0.0,0.057854615,0.011158501,0.094724,0.094644,0.6630197389506081,0.0021584774615717723,0.2,0.2,0.1358612614890363,0.05,0.075,0.0
26,8,2,0.44722486,0.0,0.007556675,0.005037783,0.009643555,0.04750061,-0.01600647,0.035644446,0.0,0.05745638,0.011121507,4.925209,4.920714,0.0,0.08947402533162724,0.2,0.2,0.13594446853619033,0.03389838333333334,0.0,0.06366498740554156
27,8,2,-0.15991533,0.0,0.0,0.0,0.026351929,0.064208984,0.016708374,0.024488889,0.0,0.05770648,0.010987863,4.38519,4.3615127,0.8138085757055356,0.08140382259307255,0.18055267333984376,0.2,0.15185207977261925,0.05,0.075,0.075
28,8,2,0.8718419,0.0,0.0,0.0,0.00091552734,0.038772583,-0.025436401,0.027922222,0.0,0.057030268,0.011347567,10.025008,9.92713,0.8805944117709659,0.1529433667790278,0.2,0.2,0.14645043832527146,0.031200606666666672,0.075,0.075
29,8,2,-0.29639328,0.0,0.0,0.0,0.026763916,0.06462097,0.025848389,0.024644444,0.0,0.057292018,0.0112358965,3.915516,3.9795108,0.7752260552808916,0.07410994179085904,0.16988677978515626,0.2,0.15159430703820975,0.02963502666666667,0.075,0.075
30,9,2,0.9381803,0.0,0.004250797,0.0,0.028793335,0.06665039,0.002029419,0.03592222,0.0,0.057603963,0.011174041,0.0,10.150952,0.0,0.0,0.19267120361328127,0.2,0.1355984817294223,0.03694828,0.075,0.06862380446333688
31,9,2,0.86824274,0.0,0.021960784,0.0,0.030548096,0.06840515,0.0017547607,0.031755555,0.0,0.05795239,0.011156769,12.493102,13.714783,0.877898653744658,0.17766969913502148,0.192169189453125,0.2,0.14100094162709978,0.05,0.075,0.04205882352941177
32,9,2,-0.3604617,0.0,0.029831387,0.0025940337,0.0019683838,0.03982544,-0.028579712,0.0353,0.0,0.05738592,0.011425021,7.6659627,7.608999,0.0,0.1260576978673835,0.2,0.2,0.13637610511765255,0.03390953666666666,0.0,0.030252918287937743
33,9,2,0.08223164,0.0,0.0,0.0,0.028869629,0.066726685,0.026901245,0.029366666,0.0,0.057668976,0.011363953,0.0,8.838557,0.0,0.0,0.16773223876953125,0.2,0.14433433134627172,0.024446790000000003,0.075,0.075
34,9,2,0.8161514,0.0,0.0,0.0,0.023620605,0.06147766,-0.0052490234,0.03302222,0.0,0.057780996,0.011214068,14.088038,14.035886,0.9314698386449065,0.19216214092085881,0.2,0.2,0.13930769772404777,0.05,0.075,0.075
35,9,2,-0.85872525,0.0,0.0,0.0,0.02645874,0.064315796,0.0028381348,0.031688888,0.0,0.057967704,0.011106195,0.0,1.0525659,0.0,0.0,0.19408874511718752,0.2,0.1410914079083346,0.0030398733333333373,0.075,0.075
36,9,2,-0.91898155,0.0,0.0,0.0,0.025680542,0.0635376,-0.00077819824,0.03722222,0.0,0.058122423,0.010989043,0.0,0.270311,0.0,0.0,0.19813461303710939,0.2,0.1340033670892556,0.05,0.075,0.075
37,9,2,-0.35261178,0.0,0.0,0.0,0.026016235,0.06387329,0.00033569336,0.033944443,0.0,0.058277853,0.010879569,4.206896,4.187573,0.8144249599098823,0.07866620586044269,0.19765472412109375,0.2,0.1381040299283458,0.05,0.075,0.075
38,9,2,0.9931476,0.0,0.0,0.0,0.020080566,0.057937622,-0.005935669,0.029044444,0.0,0.058268897,0.0107356,5e-06,12.939745,0.0,1.1455208907159497e-07,0.2,0.2,0.1447993558813748,0.03597703,0.075,0.075
39,9,2,-0.037736475,0.0,0.019547325,0.0,0.025299072,0.06315613,0.005218506,0.027033333,0.0,0.058394212,0.010625188,8.908932,8.82176,0.8235224941722437,0.1406726699118843,0.19407196044921876,0.2,0.14779527479879495,0.02030357666666667,0.075,0.04567901234567901
40,10,2,-0.30059278,0.0,0.027687296,0.0,0.027450562,0.06530762,0.0021514893,0.0356,0.0,0.058567047,0.010546908,0.0,5.070742,0.0,0.0,0.19598999023437502,0.2,0.13599999999999998,0.02030356,0.075,0.033469055374592833
41,10,2,0.6409719,0.0,0.0,0.0,0.0,0.036758423,-0.028549194,0.030733334,0.0,0.058035128,0.01094722,0.0,7.816233,0.0,0.0,0.2,0.2,0.1424037038227862,0.05,0.075,0.075
42,10,2,0.586964,0.0,0.002,0.002,0.028778076,0.0655365,0.028778076,0.037922222,0.0,0.058213733,0.010876402,0.0,10.269501,0.0,0.0,0.16759948730468752,0.2,0.13316022474936381,0.05,0.0,0.072
43,10,2,-0.70907044,0.0,0.017456358,0.0,0.0017852783,0.0385437,-0.026992798,0.026266666,0.0,0.05775629,0.011150503,2e-06,5.140467,0.0,4.582084351082873e-08,0.2,0.2,0.1489836627474427,0.05,0.075,0.048815461346633414
44,10,2,0.43210125,0.0,0.018691588,0.0,0.0019073486,0.03866577,0.00012207031,0.025177779,0.0,0.057322416,0.011384314,1e-06,4.040713,0.0,2.2910423045428472e-08,0.2,0.2,0.15072075036646315,0.05,0.075,0.0469626168224299
45,10,2,0.6794586,0.0,0.0,0.0,0.027679443,0.064437866,0.025772095,0.025322223,0.0,0.057480536,0.011305868,10.1304035,10.095493,0.8406735639865329,0.15406416517778349,0.16989059448242189,0.2,0.15048681432632763,0.016231989999999998,0.075,0.075
46,10,2,0.452749,0.0,0.0,0.0019323671,0.0041046143,0.040863037,-0.02357483,0.024477778,0.0,0.057119288,0.011441873,3e-06,9.423529,0.0,6.873126130738356e-08,0.2,0.2,0.15187054493925323,0.016231996666666665,0.0,0.075
47,10,2,-0.52165115,0.0,0.0,0.0,0.0,0.036758423,-0.0041046143,0.029977778,0.0,0.056686077,0.011694608,4e-06,9.883113,0.0,9.164167652391137e-08,0.2,0.2,0.1434628932076955,0.05,0.075,0.075
48,10,2,-0.43284786,0.0,0.0,0.0,0.026489258,0.06324768,0.026489258,0.025988888,0.0,0.056822777,0.011610035,4.08115,4.101361,0.7798151180980489,0.07671265315042414,0.16728515625,0.2,0.14942112869762492,0.03639618,0.075,0.075
49,10,2,0.927673,0.0,0.0019267823,0.0,0.002029419,0.03878784,-0.024459839,0.03798889,0.0,0.056454718,0.011770492,1.8771969,1.796342,0.7617986853719333,0.03895488926942911,0.2,0.2,0.13308047951290877,0.04265349,0.075,0.07210982658959537
1,11,3,0.5423062,0.0,0.008315979,0.000499244,0.0,0.06439209,0.0,0.03471111,0.0,0.06439209,0.0,2e-06,6.762827,0.0,4.582084351082873e-08,0.2,0.2,0.1371209273463915,0.05,0.03755669985450603,0.06252603200867257
2,11,3,-0.69982976,0.0,0.00499002,0.001996008,0.0,0.03805542,-0.02633667,0.03731111,0.0,0.051223755,0.013168335,0.0,7.417065,0.0,0.0,0.2,0.2,0.13389570530005046,0.05,0.0,0.06751497005988023
3,11,3,-0.69375235,0.0,0.046321526,0.0,0.026138306,0.064193726,0.026138306,0.035666667,0.0,0.055547077,0.012368736,0.0,1.8196311,0.0,0.0,0.167376708984375,0.2,0.13591672084961112,0.05,0.075,0.005517711171662131
4,11,3,0.085844874,0.0,0.0,0.0,0.000579834,0.038635254,-0.025558472,0.0437,0.0,0.051319122,0.012975594,0.0,6.089754,0.0,0.0,0.2,0.2,0.12656976099725673,0.05,0.075,0.075
5,11,3,-0.80350745,0.0,0.0,0.005221932,0.02557373,0.06362915,0.024993896,0.034622222,0.0,0.05378113,0.01260709,1.098398,1.09908,0.0,0.023703010704333453,0.16885108947753907,0.2,0.13723412108832098,0.05,0.0,0.075
6,11,3,0.05155754,0.0,0.0,0.0,0.0,0.035980225,-0.027648926,0.030177778,0.0,0.050814312,0.013283785,0.0,5.1463847,0.0,0.0,0.2,0.2,0.14318059799289995,0.05,0.075,0.075
7,11,3,0.46865332,0.0,0.0,0.0,0.0018005371,0.03778076,0.0018005371,0.0406,0.0,0.048952375,0.013116835,0.0,8.515193,0.0,0.0,0.2,0.2,0.1300285772618564,0.05,0.075,0.075
8,11,3,0.36847305,0.0,0.006322445,0.0,0.0013275146,0.03730774,-0.00047302246,0.032733332,0.0,0.047496796,0.012859857,0.0,10.429874,0.0,0.0,0.2,0.2,0.13968969131787393,0.05,0.075,0.06551633298208641
9,11,3,-0.7518883,0.0,0.02,0.0,0.030883789,0.06686401,0.029556274,0.031055555,0.0,0.04964871,0.013566379,0.0,4.863346,0.0,0.0,0.16076011657714845,0.2,0.1419578697075229,0.05,0.075,0.045
10,12,3,-0.4052049,0.0,0.0,0.0,0.0015869141,0.03756714,-0.029296875,0.026522223,0.0,0.048440553,0.013370818,0.0,2.840187,0.0,0.0,0.2,0.2,0.1485844813742431,0.05,0.075,0.075
