step,weightUpdates,episode,action,state/fractionLossRate,state/fractionNackRate,state/fractionPliRate,state/fractionQueueingRtt,state/fractionRtt,state/gradientRtt,state/interarrivalJitter,state/lossRate,state/rttMean,state/rttStd,state/rxRate,state/txRate,reward/rew,reward/rate,reward/rtt,reward/plr,reward/jit,reward/smt,reward/pli,reward/nack
40,5,1,-0.7261404,0.0,0.0,0.0,0.010223389,0.045196533,0.0073394775,0.0294,0.0,0.040035248,0.0034887474,2.969574,2.874444,0.7798472474122469,0.05855944397475935,0.18946304321289065,0.2,0.14428644689126352,0.03753831333333334,0.075,0.075
41,5,1,0.17833734,0.0,0.0,0.0,0.004501343,0.039474487,-0.005722046,0.026144445,0.0,0.040021572,0.0034470246,5.2198186,5.246544,0.8354180951467693,0.09374322795355851,0.2,0.2,0.14917568385987753,0.042499183333333336,0.075,0.075
42,5,1,-0.2154907,0.0,0.0,0.0,0.0053100586,0.040283203,0.0008087158,0.024511112,0.0,0.0400278,0.003405975,5.621758,5.602055,0.8500159660628399,0.09942455027789948,0.1987762451171875,0.2,0.15181517066775294,0.05,0.075,0.075
43,5,1,0.65082145,0.0,0.0,0.0,0.0066223145,0.04159546,0.0013122559,0.025344444,0.0,0.040064257,0.0033744194,7.842073,7.8480463,0.868938768976823,0.1281944998069989,0.19769439697265626,0.2,0.1504509221971679,0.04259895,0.075,0.075
44,5,1,-0.85665655,0.0,0.0,0.0,0.0051574707,0.040130615,-0.0014648438,0.030077778,0.0,0.040065765,0.003335868,4.384,4.337062,0.8131803342378512,0.08138567438940401,0.2,0.2,0.14332156984844727,0.03847309,0.075,0.075
45,5,1,-0.6092432,0.0,0.0,0.0,0.0067749023,0.041748047,0.0016174316,0.0254,0.0,0.04010315,0.0033079025,3.0708249,3.057737,0.8080082475079802,0.06028289790249054,0.19736404418945314,0.2,0.1503613054160366,0.05,0.075,0.075
46,5,1,0.49561787,0.0,0.0,0.0,0.0043640137,0.03933716,-0.0024108887,0.026855556,0.0,0.040086497,0.003273656,4.7204742,4.838732,0.8290221958187012,0.08645260473643585,0.2,0.2,0.14806842108226548,0.04450117000000001,0.075,0.075
47,5,1,-0.27874154,0.0,0.0,0.0,0.004058838,0.039031982,-0.00030517578,0.030144444,0.0,0.04006406,0.0032422154,9.1645355,9.002077,0.871964118282831,0.14355010856561443,0.2,0.2,0.14322754971721663,0.03518646,0.075,0.075
48,5,1,-0.2982422,0.0,0.0,0.0,0.005996704,0.04096985,0.0019378662,0.028988888,0.0,0.04008293,0.003210872,6.186569,6.163702,0.8399001114863088,0.10714476767368042,0.1978019714355469,0.2,0.14487992904374833,0.04007344333333334,0.075,0.075
49,5,1,0.31066382,0.0,0.0,0.0,0.005004883,0.039978027,-0.0009918213,0.02211111,0.0,0.04008079,0.0031779737,5.6,5.526259,0.8551009051856471,0.09912110257023156,0.2,0.2,0.15597980261541555,0.05,0.075,0.075
1,6,2,-0.8744636,0.0,0.0029498525,0.0002654867,0.0,0.042022705,0.0,0.029988889,0.0,0.042022705,0.0,7.149991,6.924956,0.8387733979856806,0.11966250799938401,0.2,0.2,0.14344717317213737,0.05,0.05508849557522124,0.07057522123893806
