step,weightUpdates,episode,action,state/bandwidth,state/fractionLossRate,state/fractionNackRate,state/fractionPliRate,state/fractionQueueingRtt,state/fractionRtt,state/interarrivalRttJitter,state/lossRate,state/rttMean,state/rttStd,state/rxGoodput,state/txGoodput,reward/rew,reward/rate,reward/rtt,reward/plr,reward/jit,reward/smt,reward/pli,reward/nack,reward/pen
21,4,1,-0.9433607,"[10.0, 10.0]",[0. 0. 0. 0. 0.],[0.00139665 0.         0.         0.         0.        ],[0. 0. 0. 0. 0.],"[0.0511322021484375, 0.0360260009765625, 0.0344085693359375, 0.0427653007209301, 0.047149658203125]","[0.0548095703125, 0.039703369140625, 0.0380859375, 0.0464426688849926, 0.0508270263671875]","[0.030977778136730194, 0.02597777731716633, 0.027300000190734863, 0.0315740741789341, 0.035188887268304825]",[0.02273457 0.02252939 0.02243916 0.02241537 0.02238207],0.032950394,0.016802605,"[4.835845851898194, 4.859874439239502, 3.178880405426025, 0.7528043270111084, 0.9735273480415344]","[4.670515632629395, 4.6408491134643555, 3.111084747314453, 0.7180400013923645, 0.9416079878807068]",0.785491222637373,0.093077430919101,0.2,0.25,0.06825798438102024,0.07555245538194445,0.05,0.04860335195530727,
22,4,1,-0.75143343,"[10.0, 10.0]",[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],"[0.03958892822265625, 0.0320281982421875, 0.025543212890625, 0.025543212890625, 0.025543212890625]","[0.04326629638671875, 0.03570556640625, 0.0292205810546875, 0.0292205810546875, 0.0292205810546875]","[0.029338888823986053, 0.023488888517022133, 0.02598888799548149, 0.02598888799548149, 0.02598888799548149]",[0.02232718 0.02228593 0.02224484 0.02220198 0.02218725],0.032996014,0.016575946,"[1.4647889852523805, 1.5645795345306395, 1.645038938522339, 1.8483300685882567, 2.0759450435638427]","[1.5199379920959473, 1.5368284702301027, 1.6332375049591064, 1.8472560405731202, 1.8133570671081545]",0.7626963408464948,0.053013894205109977,0.2,0.25,0.07218713327332914,0.08749531336805555,0.05,0.05,
23,4,1,0.34124887,"[10.0, 10.0]",[0. 0. 0. 0. 0.],[0.00406504 0.         0.0022831  0.         0.        ],[0. 0. 0. 0. 0.],"[0.0218963623046875, 0.0218963623046875, 0.036712646484375, 0.036712646484375, 0.036712646484375]","[0.02557373046875, 0.02557373046875, 0.0403900146484375, 0.0403900146484375, 0.0403900146484375]","[0.02548888884484768, 0.02548888884484768, 0.02361111156642437, 0.02361111156642437, 0.02361111156642437]",[0.02202542 0.02190028 0.02175396 0.02168152 0.02159389],0.03299557,0.016365713,"[6.120820236206055, 6.061204528808594, 7.497500419616699, 5.694903182983398, 8.307637977600097]","[6.514010047912598, 5.540806770324707, 6.829114532470704, 5.918819999694825, 8.484115028381348]",0.8541491215179771,0.18951593464759478,0.1981292544387457,0.25,0.07510912706320738,0.04774295104166666,0.05,0.04365185432676245,
24,4,1,0.294379,"[9.29577407836914, 10.0]",[0.         0.01968504 0.         0.         0.        ],[0.00438596 0.         0.         0.         0.        ],[0. 0. 0. 0. 0.],"[0.031219482421875, 0.0318603515625, 0.0318603515625, 0.0318603515625, 0.0349578857421875]","[0.0348968505859375, 0.0355377197265625, 0.0355377197265625, 0.0355377197265625, 0.03863525390625]","[0.03880000114440918, 0.03517777845263481, 0.03517777845263481, 0.03517777845263481, 0.036855556070804596]",[0.02132276 0.02135538 0.02127161 0.02120433 0.02114847],0.033070706,0.016152281,"[8.250774574279784, 7.74322395324707, 9.45639476776123, 6.741756057739258, 6.946636772155762]","[8.604311180114745, 7.6770782470703125, 9.2275821685791, 6.637409973144531, 6.625287818908691]",0.9037497153739281,0.2114109580724768,0.19695527526153916,0.24507874015748032,0.06605887450304572,0.08863183229166668,0.05,0.0456140350877193,
25,5,1,0.23077023,"[10.0, 10.0]",[0. 0. 0. 0. 0.],[0.         0.00194553 0.00362319 0.         0.        ],[0. 0. 0. 0. 0.],"[0.0349578857421875, 0.0608062744140625, 0.0608062744140625, 0.0608062744140625, 0.0608062744140625]","[0.03863525390625, 0.064483642578125, 0.064483642578125, 0.064483642578125, 0.064483642578125]","[0.036855556070804596, 0.024922221899032593, 0.024922221899032593, 0.024922221899032593, 0.024922221899032593]",[0.02090832 0.02073931 0.02061734 0.02054282 0.02046195],0.03381274,0.016577894,"[8.156243515014648, 6.521536254882813, 7.8236078262329105, 5.966454887390137, 7.93966121673584]","[8.008548355102539, 6.575340652465821, 7.662409782409668, 6.109622764587402, 7.417608070373535]",0.8763117774065957,0.20069134553643875,0.1639644750432011,0.25,0.06722467052458173,0.1,0.05,0.04443128630237411,
26,5,1,-0.23264492,"[6.450363731384278, 6.833284187316894]",[0.         0.08730159 0.         0.         0.        ],[0.00479616 0.         0.         0.00229885 0.        ],[0. 0. 0. 0. 0.],"[0.018280029296875, 0.025604248046875, 0.025604248046875, 0.0572306327521801, 0.0730438232421875]","[0.0219573974609375, 0.0292816162109375, 0.0292816162109375, 0.0609080009162426, 0.07672119140625]","[0.024744443595409393, 0.030655555427074432, 0.030655555427074432, 0.03314444422721863, 0.034388888627290726]",[0.02015591 0.02105751 0.02089083 0.02077417 0.02065918],0.034331255,0.017159468,"[7.831380081176758, 8.314483261108398, 6.171396827697754, 5.111388397216797, 4.82707109451294]","[7.996192169189453, 8.175564575195311, 6.293241500854492, 5.023233413696289, 4.717489337921143]",0.8733076299977718,0.1834619252010856,0.2,0.22817460317460317,0.06876611526634006,0.1,0.05,0.042904986355743,
27,5,1,0.9944198,"[6.897744750976563, 5.72727222442627]",[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],"[0.0460662841796875, 0.0460662841796875, 0.054779052734375, 0.054779052734375, 0.054779052734375]","[0.04974365234375, 0.04974365234375, 0.0584564208984375, 0.0584564208984375, 0.0584564208984375]","[0.027088887989521027, 0.027088887989521027, 0.029899999499320984, 0.029899999499320984, 0.029899999499320984]",[0.02040793 0.02028584 0.0201448  0.0200449  0.01992985],0.034872863,0.017242791,"[9.061999893188476, 9.226518440246583, 8.79578857421875, 10.0, 10.0]","[9.08421516418457, 8.443029022216797, 8.788225746154785, 10.0, 10.0]",0.9097145923431709,0.24021152809057658,0.17860942648970374,0.25,0.07178652804066823,0.06910710972222223,0.05,0.05,
28,5,1,0.96167064,"[4.895893001556397, 5.6153261184692385]",[0.         0.         0.10551558 0.         0.        ],[0.       0.000998 0.       0.       0.      ],[0. 0. 0. 0. 0.],"[0.060791015625, 0.060791015625, 0.05352020263671875, 0.0462493896484375, 0.0462493896484375]","[0.0644683837890625, 0.0644683837890625, 0.05719757080078125, 0.0499267578125, 0.0499267578125]","[0.028022222220897675, 0.028022222220897675, 0.02671111188828945, 0.02539999969303608, 0.02539999969303608]",[0.01993424 0.0197423  0.02025159 0.02080843 0.02069523],0.035516664,0.017488152,"[10.0, 10.0, 9.986113166809082, 10.0, 10.0]","[10.0, 10.0, 10.0, 10.0, 10.0]",0.9326612893362811,0.24995427572404205,0.18693328857421876,0.223621103117506,0.07315062591253031,0.1,0.05,0.049001996007984036,
29,5,1,0.37108397,"[5.670915794372559, 6.566362762451172]",[0. 0. 0. 0. 0.],[0.00208333 0.         0.00238095 0.         0.        ],[0.         0.         0.00238095 0.         0.        ],"[0.0462493896484375, 0.04933929443359375, 0.05242919921875, 0.05242919921875, 0.05242919921875]","[0.0499267578125, 0.05301666259765625, 0.0561065673828125, 0.0561065673828125, 0.0561065673828125]","[0.02539999969303608, 0.025299999862909317, 0.025200000032782555, 0.025200000032782555, 0.025200000032782555]",[0.0204642  0.0203405  0.02022735 0.02011196 0.02006738],0.035991274,0.017509174,"[7.000126457214356, 10.0, 6.430071640014648, 6.820651054382324, 9.257077026367188]","[7.047171401977539, 10.0, 6.270021438598633, 7.436590957641601, 9.069594192504884]",0.8555261918465764,0.2128251108851464,0.19381427021769734,0.25,0.0751806527080183,0.07817044375,0.0,0.04553571428571429,
30,6,1,0.30091858,"[6.628816032409668, 8.79022674560547]",[0.         0.         0.         0.         0.00210452],[0.         0.         0.         0.         0.00035149],[0. 0. 0. 0. 0.],"[0.0563812255859375, 0.0563812255859375, 0.0563812255859375, 0.0563812255859375, 0.0409088134765625]","[0.06005859375, 0.06005859375, 0.06005859375, 0.06005859375, 0.044586181640625]","[0.020711110904812813, 0.020711110904812813, 0.020711110904812813, 0.020711110904812813, 0.025511110201478004]",[0.02019606 0.02013758 0.02010537 0.02003158 0.01931418],0.0363263,0.017584085,"[6.0105129241943365, 7.535866737365723, 7.753758239746094, 6.662195014953613, 7.436699104309082]","[6.0010572433471685, 7.4268348693847654, 8.329841232299804, 6.535641098022461, 7.85338020324707]",0.9077974558166039,0.19661419471166458,0.1869696083921975,0.2494738688179586,0.0750912777436408,0.1,0.05,0.04964850615114236,
