train/learning_rate,train/n_updates,rollout/ep_rew_mean,train/critic_loss,train/std,train/ent_coef,train/ent_coef_loss,time/fps,time/time_elapsed,rollout/ep_len_mean,train/actor_loss,time/total_timesteps,time/episodes
0.0007,4928,40.52865369,0.17905871814582497,0.36326542496681213,0.04188139003235847,-3.1851815031841397,0,18663,50.0,-35.697033405303955,5000,100
0.0007,5120,40.43919206,0.1839675303781405,0.36266282200813293,0.037745191890280694,-2.805698766373098,0,19402,50.0,-35.955931425094604,5200,104
0.0007,5312,40.46518511,0.18549074803013355,0.3621349334716797,0.034438067639712244,-2.6319847088307142,0,20131,50.0,-36.16562241315842,5400,108
0.0007,5504,40.60537339,0.18018593778833747,0.36182475090026855,0.031435999932000414,-2.6309076193720102,0,20859,50.0,-36.481579422950745,5600,112
0.0007,5696,40.70138295,0.22210928553249687,0.361005961894989,0.02877464931225404,-2.6979673197492957,0,21575,50.0,-36.68391978740692,5800,116
0.0007,5888,40.78284564,0.18588046939112246,0.36062195897102356,0.026407072931760922,-2.068755239713937,0,22298,50.0,-36.91104483604431,6000,120
0.0007,6080,40.81575383,0.18393015954643488,0.3599879741668701,0.024193580291466787,-2.387989392504096,0,23044,50.0,-37.13236874341965,6200,124
0.0007,6272,41.052128599999996,0.2111392708029598,0.3591790497303009,0.02234011050313711,-2.517463382333517,0,23779,50.0,-37.333194851875305,6400,128
0.0007,6528,40.95995281,0.1874057340901345,0.35828322172164917,0.020279251009924337,-1.7030473736231215,0,24621,50.0,-37.61358845233917,6600,132
0.0007,6720,40.829202859999995,0.2316910974914208,0.3573923110961914,0.01899078395217657,-1.8254773319058586,0,25357,50.0,-37.73123687505722,6800,136
0.0007,6912,40.81716152999999,0.21793189423624426,0.3565513789653778,0.018075016152579337,-0.9400943891087081,0,26094,50.0,-37.92009598016739,7000,140
0.0007,7104,40.84081173,0.21259215159807354,0.35605379939079285,0.017491105070803314,-0.6041012445348315,0,26825,50.0,-38.09402239322662,7200,144
0.0007,7296,40.9432581,0.2163540287874639,0.3552631139755249,0.016955527273239568,-0.8115584996412508,0,27547,50.0,-38.26235258579254,7400,148
0.0007,7488,40.88950939,0.21000830689445138,0.354636549949646,0.016514032002305612,-0.4580698360223323,0,28278,50.0,-38.4051918387413,7600,152
0.0007,7680,40.91554488,0.2012833667686209,0.3542492389678955,0.016228207590756938,-0.30895642429823056,0,29000,50.0,-38.5553275346756,7800,156
0.0007,7872,41.037135789999994,0.2814842371735722,0.3536228537559509,0.015976113703800365,-1.0756136970594525,0,29733,50.0,-38.63974207639694,8000,160
0.0007,8128,41.09482,0.22370824217796326,0.35307297110557556,0.015550906406133436,-0.12294867367018014,0,30569,50.0,-38.81650686264038,8200,164
0.0007,8320,41.10269155,0.26948669517878443,0.35271966457366943,0.015435453067766502,0.04417988011846319,0,31298,50.0,-38.9088408946991,8400,168
0.0007,8512,41.095301570000004,0.2529623410664499,0.3520711660385132,0.015218005908536725,0.008393955533392727,0,32024,50.0,-39.02178740501404,8600,172
0.0007,8704,41.05812281000001,0.22874925076030195,0.3516031503677368,0.015173088148003444,0.030144759104587138,0,32753,50.0,-39.096661150455475,8800,176
0.0007,8896,41.21017253000001,0.22874094650615007,0.3511391878128052,0.015070846318849362,0.2598730259342119,0,33483,50.0,-39.25443762540817,9000,180
0.0007,9088,41.24064418,0.26464653841685504,0.35084375739097595,0.015091043605934829,0.30676225380739197,0,34214,50.0,-39.2941153049469,9200,184
0.0007,9280,41.3085095,0.234063548152335,0.35038042068481445,0.015374816255643964,0.30878181190928444,0,34947,50.0,-39.39277845621109,9400,188
0.0007,9472,41.25614495,0.2605826938524842,0.3500845432281494,0.015357099633547477,-0.32241836591856554,0,35670,50.0,-39.42700415849686,9600,192
0.0007,9728,41.23889085,0.23960126424208283,0.34961920976638794,0.015359929893747903,0.2769765491830185,0,36498,50.0,-39.53868979215622,9800,196
0.0007,9920,41.3245633,0.23840570962056518,0.3489722013473511,0.015344943953095935,-0.1154557223781012,0,37233,50.0,-39.60765391588211,10000,200
0.0007,10112,41.574197829999996,0.29547910124529153,0.34867894649505615,0.01527191131026484,0.002820573397912085,0,37965,50.0,-39.60133922100067,10200,204
0.0007,10304,41.58884713,0.27824323205277324,0.3483326733112335,0.015151472631259821,0.024645048542879522,0,38687,50.0,-39.678238928318024,10400,208
0.0007,10496,41.49130064,0.23560893419198692,0.34791839122772217,0.01540149717766326,0.08044112508650869,0,39402,50.0,-39.78854960203171,10600,212
0.0007,10688,41.51123031000001,0.2461566934362054,0.3476063907146454,0.015453836909728125,0.8255742578185163,0,40117,50.0,-39.79495680332184,10800,216
0.0007,10880,41.69695470999999,0.2649376359768212,0.3475741744041443,0.01574620374594815,0.27686072868527845,0,40829,50.0,-39.76979011297226,11000,220
