rollout/ep_rew_mean,time/fps,time/total_timesteps,rollout/ep_len_mean,time/episodes,time/time_elapsed,train/n_updates,train/ent_coef,train/critic_loss,train/actor_loss,train/learning_rate
38.971201719999996,0,9200,50.0,184,31095,9189,0.10000000149011612,0.01318478211760521,-137.2276611328125,0.0002707133333333334
38.99024335000001,0,9400,50.0,188,31778,9389,0.10000000149011612,0.01667635887861252,-139.9031219482422,0.00026137999999999997
38.99535746000001,0,9600,50.0,192,32459,9589,0.10000000149011612,0.02222966030240059,-142.66287231445312,0.00025204666666666666
38.995463179999994,0,9800,50.0,196,33141,9789,0.10000000149011612,0.012250775471329689,-145.4016571044922,0.00024271333333333333
38.99160906,0,10000,50.0,200,33822,9989,0.10000000149011612,0.01627473533153534,-148.04678344726562,0.00023338000000000002
38.99544619,0,10200,50.0,204,34497,10189,0.10000000149011612,0.015158472582697868,-150.7200469970703,0.0002240466666666667
39.00287213,0,10400,50.0,208,35177,10389,0.10000000149011612,0.01774626597762108,-153.35963439941406,0.00021471333333333332
39.00488035000001,0,10600,50.0,212,35852,10589,0.10000000149011612,0.015820583328604698,-156.0238037109375,0.00020538
39.01708491,0,10800,50.0,216,36528,10789,0.10000000149011612,0.015356524847447872,-158.71617126464844,0.00019604666666666668
39.02348807,0,11000,50.0,220,37205,10989,0.10000000149011612,0.017021983861923218,-161.3276824951172,0.00018671333333333337
39.038524110000004,0,11200,50.0,224,37880,11189,0.10000000149011612,0.014952491037547588,-163.92803955078125,0.00017737999999999996
39.04729276,0,11400,50.0,228,38557,11389,0.10000000149011612,0.013845063745975494,-166.50372314453125,0.00016804666666666665
39.0575225,0,11600,50.0,232,39234,11589,0.10000000149011612,0.020112473517656326,-169.15914916992188,0.00015871333333333334
39.066529859999996,0,11800,50.0,236,39913,11789,0.10000000149011612,0.016775749623775482,-171.6772003173828,0.00014938
39.07076513,0,12000,50.0,240,40594,11989,0.10000000149011612,0.015323987230658531,-174.27154541015625,0.00014004666666666662
39.08510358,0,12200,50.0,244,41269,12189,0.10000000149011612,0.016823213547468185,-176.8291778564453,0.00013071333333333331
39.09318508999999,0,12400,50.0,248,41946,12389,0.10000000149011612,0.018474943935871124,-179.41156005859375,0.00012137999999999999
39.1124661,0,12600,50.0,252,42621,12589,0.10000000149011612,0.021152321249246597,-181.92758178710938,0.00011204666666666669
39.114992470000004,0,12800,50.0,256,43299,12789,0.10000000149011612,0.013334285467863083,-184.5102996826172,0.00010271333333333337
39.114178339999995,0,13000,50.0,260,43979,12989,0.10000000149011612,0.0169619582593441,-186.9921417236328,9.337999999999998e-05
