Folder,action,bandwidth,fractionLossRates,fractionNackrate,fractionPliRate,fractionQueueingRtt,fractionRtt,interarrivalRttJitter,lossRate,rttMean,rttStd,rxGoodput,txGoodput
"rewardRate = 0.10, pli = 0.1, nack = 0.1, jitter = 0.3, plr = 0.3",0.7840541932849446,0.8478310592946962,0.3563709747894551,0.5837422044243734,0.09267826424926712,0.5002944951783012,0.4228484655222513,0.1537697723092181,0.23189659190942927,0.37560073512601716,0.32640786305482705,0.9717208140524204,0.966107940585624
"rewardRate = 0.10, plr = 0.3, pli = 0.1, nack = 0.1, jitter = 0.3",0.7840541932849446,0.8478310592946962,0.3563709747894551,0.5837422044243734,0.09267826424926712,0.5002944951783012,0.4228484655222513,0.1537697723092181,0.23189659190942927,0.37560073512601716,0.32640786305482705,0.9717208140524204,0.966107940585624
rewardRate = 0.15,0.7871485394001506,0.948910337477278,0.4763337864441074,0.45140889627173775,0.055823145950072865,0.6138604521656328,0.5429265015727301,0.4642576480719062,0.48364813975564,0.40622636785577393,0.23171552266228646,0.9956959688036047,0.9966073465891188
rewardRate = 0.20,0.8110799428625356,0.9856702920997594,0.457548463036994,0.36866790879032657,0.05423598302673433,0.5875170048169772,0.5521022663774611,0.7749390207895263,0.3106445707794409,0.5121272939564663,0.3995039769885828,0.990762779434572,0.9896444654109127
rewardRate = 0.25,1.0,0.9710908557114764,0.2590994004757151,0.3503537932118678,0.05416304681708028,0.0,0.0,0.2598955156860871,0.19370608099973902,0.0,0.035102150250293715,0.9810683336603576,0.9795399490777804
rewardRate = 0.25 - new,0.9346946074531335,0.9537143477785256,0.6878393534654662,0.5476280506596253,0.047531777150337774,0.6602894802230033,0.6453319901299613,0.623698912607153,0.5735097331616636,0.595674033617706,0.5118714387296803,1.0,1.0
rewardRate = 0.25 - sens,0.7630143639982339,0.9531672841215405,0.6276773883719322,0.5114223802842733,0.007163892944298283,0.5323873639238553,0.5434658066001417,0.5608606099984905,0.5453231692932922,0.5438343664750434,0.7526788771774235,0.9592959838540628,0.9487777750234581
"rewardRate = 0.25, bandwidth=30.0 + 6.0, jitter = 0.3, extra_gcc",0.8089223481214115,0.8417849711297256,0.6115132171146787,0.7492961195387794,0.2999412563338423,0.8543326460595744,0.8888582939114028,0.32765943580480245,0.6351118343915094,0.842231425386015,0.8888235511130304,0.9889762458001929,0.9864426570937561
"rewardRate = 0.25, bandwidth=30.0, jitter = 0.3, extra_gcc",0.7869628678242786,0.8507642453277815,0.8226380103379352,0.789784195328072,0.1237644209402839,0.829228791110874,0.9650024535392953,0.2395858274371244,0.8482030811110296,0.9460066494942669,0.726095572465255,0.9597154412564064,0.9540313745187451
"rewardRate = 0.25, bandwidth=40.0, jitter = 0.3, extra_gcc",0.8629231596344302,0.8974434932196327,0.9347692935678523,0.8815248061224112,0.2299181419304546,0.7317314359444549,0.8477958600050592,0.29570812814275177,0.6941129602607242,0.8173486596222346,0.5691904559621654,0.9818746002244877,0.9808263018854555
rewardRate = 0.30,0.9814459679235309,0.9092570408318084,0.6502245670719026,0.42468434755337003,0.1990797723193127,0.591990981891536,0.5992293818601591,1.0,0.8439648148834776,0.5426211228611437,0.32479765733272664,0.9999380706685339,0.9997543561981554
